time,algoritimo,server,carId, CoordX, CoordY, idObj,SizeObj,obDetect,prioridadeVideo,deadline,coordObjX,coordObjY
1261,2,server2,1,1519.87,770.2,1,0.765874,2,1,30,1764.96,949866
2191,2,server2,1,1518.57,770.2,2,0.867496,2,1,30,1690.94,980.64
2821,2,server2,1,1516.38,770.2,3,0.684874,2,2,62,1747.04,640918
3223,2,server2,1,1514.74,770.2,4,0.627269,2,2,80,1631.99,919752
4252,2,server2,3,779.8,1518.38,5,0.435816,2,0,8,846884,1361.49
4464,2,server2,3,779.8,1517.83,6,0.601789,2,2,58,671941,1295.55
4561,2,server2,1,1507.41,770.2,7,0.767912,2,1,29,1596.29,856.76
5064,2,server2,1,1503.77,770.2,8,1.70967,2,1,29,1260.97,825793
5.29,2,server2,5,1519.87,770.2,9,0.650837,2,2,77,1720.18,1042.7
5319,2,server2,3,779.8,1514.44,10,0.768187,2,1,22,820797,1413.05
6195,2,server2,5,1518.64,770.2,11,1.22583,2,1,32,1600.08,769426
6431,2,server2,3,779.8,1508.38,12,0.491453,2,2,70,533399,1621.56
6802,2,server2,3,779.8,1506.33,13,1.37716,2,2,70,673722,1334.89
7.33,2,server2,1,1494.9,770.2,14,0.410325,2,2,83,1342.66,826374
7349,2,server2,1,1480.52,770.2,15,1.64969,2,1,35,1213.69,1063.93
7447,2,server2,5,1514.41,770.2,16,0.46594,2,2,59,1409.5,761413
7.48,2,server2,3,779.8,1500.86,17,0.610835,2,1,28,920408,1388.38
7869,2,server2,3,779.8,1497.33,18,0.826426,2,1,28,734218,1722.5
8165,2,server2,5,1510.04,770.2,19,1.08602,1,2,84,1677.6,543374
8327,2,server2,3,779.8,1493.47,20,1.99494,1,2,77,855.2,1739.48
8537,2,server2,1,1468.97,770.2,21,0.401097,2,1,29,1360.65,803242
8537,2,server2,1,1468.97,770.2,22,0.453116,2,1,29,1745.28,1022.21
8539,2,server2,1,1467.68,770.2,23,1.83583,2,1,33,1393.53,767.32
9286,2,server2,3,779.8,1482.51,24,1.00093,2,1,32,736496,1577.57
9436,2,server2,5,1501.86,770.2,25,1.0394,2,2,57,1489.01,936539
9447,2,server2,1,1453.44,770.2,26,0.508812,2,2,95,1695.96,470931
9449,2,server2,5,1501,770.2,27,2.18197,2,2,57,1217.55,622493
9.8,2,server2,3,779.8,1476.48,28,1.98074,2,1,32,884846,1381.86
10.19,2,server2,9,1518.63,770.2,29,0.421552,2,1,20,1430.77,734051
10203,2,server2,5,1493.5,770.2,30,0.483599,2,1,44,1413.64,690269
10347,2,server2,1,1444.37,770.2,31,0.423833,2,2,80,1333.79,792334
10364,2,server2,1,1444.37,770.2,32,0.467113,2,2,80,1257.33,496419
10541,2,server2,9,1517.52,770.2,33,0.508184,2,2,81,1456.9,654869
10704,2,server2,3,779.8,1465.59,34,0.946047,2,2,90,715047,1217.24
11138,2,server2,5,1482.26,770.2,35,0.748886,2,2,77,1243.65,880.11
11.17,2,server2,1,1431.41,770.2,36,0.858267,2,1,42,1408.47,672384
11199,2,server2,5,1482.26,770.2,37,0.806088,2,2,77,1534.17,1006.65
11305,2,server2,9,1514.8,770.2,38,0.866482,2,0,14,1420.48,936905
11601,2,server2,3,779.8,1454.7,39,0.964797,2,2,95,779522,1549.04
11996,2,server2,3,779.8,1449.88,40,0.997583,2,2,95,1002.8,1716.06
12181,2,server2,5,1469.18,770.2,41,0.544897,2,2,81,1736.17,553756
12181,2,server2,5,1469.18,770.2,42,0.881968,2,2,81,1501.2,666493
12194,2,server2,1,1418.47,770.2,43,0.763095,2,2,88,1212.01,783375
12.21,2,server2,9,1509.88,770.2,44,0.527726,2,2,100,1345.95,811139
12.23,2,server2,1,1417.18,770.2,45,1.07687,2,2,88,1384.13,797414
12.28,2,server2,11,779.8,1518.34,46,0.528309,2,1,34,514578,1594.79
12523,2,server2,3,779.8,1442.62,46,1.87339,2,2,62,686515,1630
12524,2,server2,11,779.8,1517.49,47,1.03387,2,1,34,839518,1677.52
12554,2,server2,11,779.8,1517.49,48,1.4241,2,2,99,864959,1661.7
13144,2,server2,5,1455.66,770.2,49,1.24386,2,2,86,1670.06,591297
13181,2,server2,1,1405.52,770.2,50,0.613642,2,1,38,1516.93,844151
13183,2,server2,11,779.8,1515.33,51,1.34092,1,1,27,656063,1681.5
13202,2,server2,3,779.8,1435.39,52,0.99544,2,1,28,943569,1532.47
13235,2,server2,9,1502.61,770.2,53,1.03887,2,0,13,1311.65,576488
13237,2,server2,9,1502.61,770.2,54,1.48102,2,0,13,1720.85,921639
