time,algoritimo,server,carId, CoordX, CoordY, idObj,SizeObj,obDetect,prioridadeVideo,deadline,coordObjX,coordObjY,
28301,2,server1,28,30.1258,779.8,10,1.60367,2,2,94126,-49.8864,962959,
28322,2,server1,12,208602,779.8,14,2.89338,2,2,79803,303368,530572,
41156,2,server1,28,172416,779.8,14,2.89338,2,2,92637,303368,530572,
38612,2,server1,30,770.2,96797,33,1.22719,2,1,79969,596687,341138,
29322,2,server1,26,770.2,41.5339,41,1.0145,2,2,112462,919767,298792,
29406,2,server1,14,770.2,213942,42,0.407018,2,2,133602,1057.2,300631,
38.41,2,server1,22,770.2,214655,42,0.407018,2,2,142606,1057.2,300631,
42258,2,server1,26,770.2,214738,42,0.407018,2,2,146454,1057.2,300631,
48.91,2,server1,30,770.2,213651,42,0.407018,2,2,153106,1057.2,300631,
28322,2,server1,12,208602,779.8,43,2.19979,2,1,82.64,351853,1023.81,
36322,2,server1,20,196149,779.8,43,2.19979,2,1,90.64,351853,1023.81,
38.31,2,server1,24,188155,779.8,43,2.19979,2,1,92628,351853,1023.81,
41516,2,server1,28,178676,779.8,43,2.19979,2,1,95834,351853,1023.81,
28301,2,server1,28,30.1258,779.8,44,1.87482,2,1,81623,145474,556451,
96326,2,server1,1,327928,770.2,52,0.482587,2,2,192.67,94.8239,882335,
28322,2,server1,12,208602,779.8,56,2.36056,2,1,83199,174993,1076.39,
41156,2,server1,28,172416,779.8,56,2.36056,2,1,96033,174993,1076.39,
28322,2,server1,12,208602,779.8,64,1.25105,2,1,86594,345276,609383,
37292,2,server1,28,111516,779.8,64,1.25105,2,1,95564,345276,609383,
30211,2,server1,18,770.2,164832,67,1.77855,2,1,74337,910429,429.85,
39166,2,server1,26,770.2,169241,67,1.77855,2,1,83292,910429,429.85,
29608,2,server1,18,770.2,154992,70,0.436246,2,2,99723,787217,454036,
38119,2,server1,26,770.2,154559,70,0.436246,2,2,108234,787217,454036,
43708,2,server1,30,770.2,154596,70,0.436246,2,2,113823,787217,454036,
36013,2,server1,22,770.2,179979,73,2.35363,1,1,74193,486259,275997,
30011,2,server1,18,770.2,161555,74,1.35769,2,2,100246,899611,432135,
39166,2,server1,26,770.2,169241,74,1.35769,2,2,109401,899611,432135,
44.41,2,server1,30,770.2,162533,74,1.35769,2,2,114645,899611,432135,
38019,2,server1,28,124007,779.8,85,0.787776,2,1,100338,282533,526.07,
36117,2,server1,30,770.2,68.4628,86,0.537476,2,2,150226,766008,367734,
35809,2,server1,30,770.2,65.0603,87,0.923729,2,2,149918,855427,352112,
38716,2,server1,30,770.2,97.9256,88,0.659116,2,2,123843,864679,382659,
28322,2,server1,12,208602,779.8,91,0.784749,2,2,135553,255.74,488.36,
36322,2,server1,20,196149,779.8,91,0.784749,2,2,143553,255.74,488.36,
38.31,2,server1,24,188155,779.8,91,0.784749,2,2,145541,255.74,488.36,
41916,2,server1,28,184916,779.8,91,0.784749,2,2,149147,255.74,488.36,
89142,2,server1,5,430593,773.4,94,1.11527,2,2,196711,206883,740774,
28322,2,server1,12,208602,779.8,96,0.992116,2,0,67446,376766,654.2,
37292,2,server1,28,111516,779.8,96,0.992116,2,0,76416,376766,654.2,
36131,2,server1,4,381.84,779.8,101,0.511464,2,2,116425,448228,1064.92,
35299,2,server1,8,405289,776.6,101,0.511464,2,2,115593,448228,1064.92,
40308,2,server1,12,377603,779.8,101,0.511464,2,2,120602,448228,1064.92,
45289,2,server1,16,411001,779.8,101,0.511464,2,2,125583,448228,1064.92,
50.26,2,server1,20,370602,779.8,101,0.511464,2,2,130554,448228,1064.92,
56325,2,server1,24,458452,776.6,101,0.511464,2,2,136619,448228,1064.92,
61313,2,server1,28,483279,776.6,101,0.511464,2,2,141607,448228,1064.92,
28322,2,server1,12,208602,779.8,103,1.45038,2,0,68.01,46.9185,907148,
96326,2,server1,1,327928,770.2,110,0.536229,2,2,207602,79.1558,772979,
28322,2,server1,12,208602,779.8,110,0.536229,2,2,139598,79.1558,772979,
89142,2,server1,5,430593,773.4,112,0.830054,2,2,200865,410311,957862,
28322,2,server1,12,208602,779.8,112,0.830054,2,2,140045,410311,957862,
36322,2,server1,20,196149,779.8,112,0.830054,2,2,148045,410311,957862,
38.31,2,server1,24,188155,779.8,112,0.830054,2,2,150033,410311,957862,
41156,2,server1,28,172416,779.8,112,0.830054,2,2,152879,410311,957862,
39818,2,server1,30,770.2,110406,114,0.685534,2,1,101937,892815,383165,
35719,2,server1,26,770.2,119342,115,0.753068,1,1,102.86,955.62,354.3,
40609,2,server1,30,770.2,119485,115,0.753068,1,1,107.75,955.62,354.3,
29.61,2,server1,22,770.2,87.5056,116,2.54379,1,1,83903,571977,312.32,
38266,2,server1,30,770.2,92.2651,116,2.54379,1,1,92559,571977,312.32,
89142,2,server1,5,430593,773.4,117,1.43841,2,2,204445,279.3,597083,
28322,2,server1,12,208602,779.8,117,1.43841,2,2,143625,279.3,597083,
28322,2,server1,12,208602,779.8,122,0.578645,1,1,100469,53.7769,1017.62,
28322,2,server1,12,208602,779.8,125,0.57969,2,2,141.89,124456,705.78,
28322,2,server1,12,208602,779.8,125,0.582554,2,1,100857,3.32613,945.42,
30012,2,server1,22,770.2,93.2908,132,0.531563,2,2,161.15,798401,391411,
38317,2,server1,30,770.2,93.3969,132,0.531563,2,2,169455,798401,391411,
28322,2,server1,12,208602,779.8,135,2.05047,2,0,74508,47.1027,850.47,
28301,2,server1,28,30.1258,779.8,135,2.05047,2,0,74487,47.1027,850.47,
89142,2,server1,5,430593,773.4,138,1.18191,2,2,205402,215469,740.17,
28322,2,server1,12,208602,779.8,138,1.18191,2,2,144582,215469,740.17,
39309,2,server1,30,770.2,104721,139,0.617643,2,2,145848,678996,389414,
29.29,2,server1,4,298358,779.8,140,1.32362,2,0,79602,307376,1074.62,
28322,2,server1,12,208602,779.8,140,1.86455,2,2,127954,22.1477,612879,
38217,2,server1,16,306209,779.8,140,1.32362,2,0,88529,307376,1074.62,
40819,2,server1,20,252586,779.8,140,1.32362,2,0,91131,307376,1074.62,
48.17,2,server1,24,334421,776.6,140,1.32362,2,0,98482,307376,1074.62,
28301,2,server1,28,30.1258,779.8,140,1.86455,2,2,127933,22.1477,612879,
89142,2,server1,5,430593,773.4,141,0.789722,2,2,189586,337494,614361,
28322,2,server1,12,208602,779.8,141,0.789722,2,2,128766,337494,614361,
37292,2,server1,28,111516,779.8,141,0.789722,2,2,137736,337494,614361,
30247,2,server1,6,770.2,318461,144,0.402842,1,1,106368,531285,220717,
29322,2,server1,26,770.2,41.5339,144,0.402842,1,1,105443,531285,220717,
30247,2,server1,6,770.2,318461,145,0.476208,2,1,106368,586306,341,
39309,2,server1,30,770.2,104721,145,0.476208,2,1,115.43,586306,341,
36013,2,server1,22,770.2,179979,146,1.16688,2,2,155145,1004.16,366959,
39.82,2,server1,26,770.2,179514,146,1.16688,2,2,158952,1004.16,366959,
45912,2,server1,30,770.2,179564,146,1.16688,2,2,165044,1004.16,366959,
29.29,2,server1,4,298358,779.8,147,1.48576,2,2,129429,222.9,1046.31,
28322,2,server1,12,208602,779.8,147,1.48576,2,2,128461,222.9,1046.31,
37292,2,server1,28,111516,779.8,147,1.48576,2,2,137431,222.9,1046.31,
30247,2,server1,6,770.2,318461,148,0.451286,2,2,145408,591847,306094,
35809,2,server1,30,770.2,65.0603,148,0.451286,2,2,150.97,591847,306094,
39179,2,server1,14,770.2,369321,149,1.19491,2,2,158407,490479,335061,
46151,2,server1,22,770.2,325938,149,1.19491,2,2,165379,490479,335061,
44135,2,server1,26,770.2,242641,149,1.19491,2,2,163363,490479,335061,
51203,2,server1,30,770.2,238635,149,1.19491,2,2,170431,490479,335061,
29.29,2,server1,4,298358,779.8,150,0.420465,1,1,83581,541734,848427,
38217,2,server1,16,306209,779.8,150,0.420465,1,1,92508,541734,848427,
40634,2,server1,20,250084,779.8,150,0.420465,1,1,94925,541734,848427,
42622,2,server1,24,251311,776.6,150,0.420465,1,1,96913,541734,848427,
29.29,2,server1,4,298358,779.8,151,1.81728,2,2,129864,224588,1030.56,
28322,2,server1,12,208602,779.8,151,1.81728,2,2,128896,224588,1030.56,
37292,2,server1,28,111516,779.8,151,1.81728,2,2,137866,224588,1030.56,
28301,2,server1,28,30.1258,779.8,155,2.58017,2,2,133183,-107.16,758734,
30247,2,server1,6,770.2,318461,156,1.13318,2,1,88.5,581175,211377,
30247,2,server1,6,770.2,318461,157,0.524337,2,2,171377,819407,254247,
29.29,2,server1,4,298358,779.8,160,0.407354,2,1,95513,163501,877767,
29.29,2,server1,4,298358,779.8,160,1.62003,2,1,95733,307554,668327,
28322,2,server1,12,208602,779.8,160,0.407354,2,1,94545,163501,877767,
28322,2,server1,12,208602,779.8,160,1.62003,2,1,94765,307554,668327,
28301,2,server1,28,30.1258,779.8,160,1.62003,2,1,94744,307554,668327,
30247,2,server1,6,770.2,318461,163,0.718927,2,2,142361,880201,389531,
39.91,2,server1,30,770.2,111545,163,0.718927,2,2,152024,880201,389531,
30247,2,server1,6,770.2,318461,166,0.597915,1,2,160388,949593,318727,
37.01,2,server1,30,770.2,78.6573,166,0.597915,1,2,167151,949593,318727,
29.29,2,server1,4,298358,779.8,167,1.99066,2,1,111447,255.52,697704,
28322,2,server1,12,208602,779.8,167,1.99066,2,1,110479,255.52,697704,
28301,2,server1,28,30.1258,779.8,167,1.99066,2,1,110458,255.52,697704,
29.29,2,server1,4,298358,779.8,168,1.18514,2,1,108474,120144,755826,
28322,2,server1,12,208602,779.8,168,1.18514,2,1,107506,120144,755826,
30247,2,server1,6,770.2,318461,169,0.681025,2,2,129548,536847,248747,
35.42,2,server1,30,770.2,60533,169,0.681025,2,2,134721,536847,248747,
39414,2,server1,30,770.2,105862,169,1.61966,2,0,93628,1032.78,250838,
29.29,2,server1,4,298358,779.8,170,1.71888,2,0,85558,433213,859316,
28322,2,server1,12,208602,779.8,170,1.71888,2,0,84.59,433213,859316,
37807,2,server1,18,770.2,289551,170,2.12398,2,2,137165,471179,313163,
46151,2,server1,22,770.2,325938,170,2.12398,2,2,145509,471179,313163,
38.31,2,server1,24,188155,779.8,170,1.71888,2,0,94578,433213,859316,
47.31,2,server1,26,770.2,289608,170,2.12398,2,2,146668,471179,313163,
41156,2,server1,28,172416,779.8,170,1.71888,2,0,97424,433213,859316,
30247,2,server1,6,770.2,318461,172,0.635427,2,2,135372,1016.24,337356,
29288,2,server1,14,770.2,210739,172,0.635427,2,2,134413,1016.24,337356,
39166,2,server1,26,770.2,169241,172,0.635427,2,2,144291,1016.24,337356,
44711,2,server1,30,770.2,165946,172,0.635427,2,2,149836,1016.24,337356,
29.29,2,server1,4,298358,779.8,173,2.45616,1,1,101545,371583,654811,
28322,2,server1,12,208602,779.8,173,2.45616,1,1,100577,371583,654811,
